Method	Category	Version	Language	Input_Format	Parameter_Names	Source_URL	License	Original_Publication
Armatus	Linear score (DP)	v1.0 (commit ea54a41)	C++	Dense(NxN), Rao, Sparse(3-col)	-g (gamma), -s (step), -n (copies), -N (no norm), -m (multi-scale), -S (sparse symmetric), -r (resolution), -c (chrom)	https://github.com/kingsfordgroup/armatus	BSD-3-Clause	Filippova et al. 2014, Algorithms Mol Biol
Arrowhead	Linear score (corner peak)	Juicer Tools v2.09.00	Java	hic format (.hic)	-c (chromosome), -r (resolution), -k (normalization)	https://github.com/aidenlab/juicer	MIT	Rao et al. 2014, Cell
HiTAD	Linear score (directionality)	TADLib v0.5.0	Python	cool format (.cool)	-d (config), --maxsize, --minimum-chrom-size, -W (weight type), -p (threads)	https://github.com/XiaotaoWang/TADLib	MIT	Wang et al. 2017, Nucleic Acids Res
Matryoshka	Linear score (segmentation)	v0.1.0	C++	Dense(NxN), Rao, Sparse(3-col)	-R (RAO format), -g (gamma), -m (multi-scale), -r (resolution), -c (chrom), -n (min samples), -s (step)	https://github.com/COMBINE-lab/matryoshka	BSD-3-Clause	Malik & Patro 2019, IEEE/ACM TCBB
OnTAD	Linear score (adaptive)	v1.0	C++	Dense(NxN), .hic	-penalty, -maxsz (max domain size), -minsz (min domain size), -o (output), -bedout	https://github.com/anlin00007/OnTAD	GPL-3.0	An et al. 2019, Genome Biol
TADpole	Clustering (hierarchical)	v1.0	R	Dense(NxN)	chr, start, end, resol (all other parameters default)	https://github.com/3DGenomes/TADpole	GPL-3.0	Soler-Vila et al. 2020, Nucleic Acids Res
SpectralTAD	Clustering (spectral)	v1.2.0 (Bioconductor)	R	Dense(NxN/NxN+3), Sparse(3-col)	chr, levels, resolution, qual_filter	https://bioconductor.org/packages/SpectralTAD	GPL-3.0	Cresswell & Dozmorov 2020, BMC Bioinformatics
deDoc	Structural entropy (graph)	v1.0	Java	Sparse (deDoc format, 1-based)	no parameters; input file only	https://github.com/yinxc/structural-information-minimisation	MIT	Li et al. 2018, Nat Commun
SuperTAD-fast	Structural entropy (discretized)	v1.0	C++	Dense(NxN)	multi (subcommand), --fast, -r (resolution), --chrom1, --window, --step, -w (output dir)	https://github.com/deepomicslab/SuperTAD	MIT	Zhang et al. 2024, J Comput Biol
TADtree	Statistical model (DP)	v1.0	Python	Dense(NxN)	S (contact count threshold), M, p, q, gamma, N (resampling), contact_map_path	https://compbio.cs.brown.edu/projects/tadtree/	GPL-3.0	Weinreb & Raphael 2016, Bioinformatics
rGMAP	Statistical model (GMM)	v1.4	R	Dense(NxN), Sparse(3-col)	resl (resolution), max_d, min_d, dom_order	https://github.com/wbaopaul/rGMAP	GPL-2.0	Yu et al. 2017, Nat Commun
HiCKey	Statistical model (change-point)	v1.0	C++	Dense(NxN), Rao, Sparse(3-col)	config file: matrix_path, background_model, resolution, n_chrom, p-value, FDR_threshold	https://github.com/YingruWuGit/HiCKey	MIT	Xing et al. 2021, BMC Bioinformatics
GRiNCH	Network features (MF)	v1.0	C/C++	Sparse (3-col text)	-e (resolution parameter, set per hierarchy level: TAD/subTAD/metaTAD)	https://github.com/Roy-lab/grinch	MIT	Lekschas et al. 2021, Genome Biol
